,account_id,post_id,Category,Page,Post.URL,Date.Published,Post.Type,Rating,Debate,share_count,reaction_count,comment_count
2,1.84097E+14,1.03527E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,9/19/2016,link,mostly true,,1,33,34
3,1.84097E+14,1.03531E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,9/19/2016,link,mostly true,,34,63,27
4,1.84097E+14,1.03532E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,9/19/2016,link,mostly true,,35,170,86
5,1.84097E+14,1.03535E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035352946562931,9/19/2016,video,mostly true,,568,3188,2815
6,1.84097E+14,1.03537E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,9/19/2016,link,mostly true,,23,28,21
7,1.84097E+14,1.03541E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035411183223774,9/19/2016,video,mostly true,,46,409,105
8,1.84097E+14,1.03543E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,9/19/2016,link,mostly true,,7,62,64
9,1.84097E+14,1.03545E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724,9/19/2016,link,mostly true,,7,39,6
10,1.84097E+14,1.03545E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035453279886231,9/19/2016,video,mostly true,,152,278,59
11,1.84097E+14,1.03546E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267,9/19/2016,link,mostly true,,8,29,14
12,1.84097E+14,1.03549E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035489746549251,9/19/2016,link,mostly true,,NA,10,0
13,1.84097E+14,1.03549E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035491416549084,9/19/2016,video,mostly true,,37,507,164
14,1.84097E+14,1.0355E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579,9/19/2016,link,mostly true,,4,23,2
15,1.84097E+14,1.03553E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035527713212121,9/19/2016,video,mostly true,,10,85,29
16,1.84097E+14,1.03553E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035532526544973,9/19/2016,link,mostly true,,10,41,14
18,1.84097E+14,1.03557E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035572169874342,9/19/2016,video,mostly true,,NA,16,20
19,1.84097E+14,1.03559E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035592746538951,9/19/2016,link,mostly true,,15,276,74
21,1.84097E+14,1.03527E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,9/19/2016,link,mostly true,,1,33,34
31,1.84097E+14,1.03531E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,9/19/2016,link,mostly true,,34,63,27
41,1.84097E+14,1.03532E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,9/19/2016,link,mostly true,,35,170,86
202,1.46423E+14,1.44662E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446620375378430,9/19/2016,link,mixture of true and false,,241,2027,226
203,1.46423E+14,1.44663E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446625628711238,9/19/2016,link,mixture of true and false,,991,3087,313
211,1.46423E+14,1.44725E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447249158648885,9/19/2016,link,mixture of true and false,,1145,6552,562
201,1.46423E+14,1.44652E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446522352054899,9/19/2016,link,mostly true,,130,1032,382
215,1.46423E+14,1.44744E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447438628629938,9/19/2016,link,mostly false,,167,862,102
222,1.46423E+14,1.44769E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447692541937880,9/19/2016,link,mostly false,,156,661,107
234,1.46423E+14,1.44815E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1448154985224969,9/20/2016,link,mostly false,,285,934,153
258,1.46423E+14,1.44994E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1449944418379359,9/22/2016,link,mostly false,,NA,1397,708
269,1.46423E+14,1.45071E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1450712398302561,9/22/2016,link,mostly false,,3063,3971,1006
295,1.46423E+14,1.45212E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1452117881495346,9/23/2016,link,mostly false,,4708,13821,486
303,1.46423E+14,1.45487E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1454868161220318,9/26/2016,link,mostly false,,273,2423,301
308,1.46423E+14,1.45556E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1455558234484644,9/26/2016,link,mostly false,,4587,7960,2770
252,1.46423E+14,1.44963E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1449628885077579,9/21/2016,link,no factual content,,493,1404,167
341,2.19367E+14,1.28139E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281392611902569,9/19/2016,link,mostly true,,8,61,62
342,2.19367E+14,1.28149E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281494028559094,9/19/2016,link,mostly true,,6,38,39
343,2.19367E+14,1.28156E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281555051886325,9/19/2016,link,mostly true,,122,521,214
344,2.19367E+14,1.28161E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281614831880347,9/19/2016,link,mostly true,,19,90,88
345,2.19367E+14,1.28166E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281662605208903,9/19/2016,link,mostly true,,119,541,206
346,2.19367E+14,1.28168E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281683768540120,9/19/2016,link,mostly true,,21,135,57
347,2.19367E+14,1.2817E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281703098538187,9/19/2016,link,mostly true,,58,492,414
348,2.19367E+14,1.28171E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281708098537687,9/19/2016,link,mostly true,,29,219,136
349,2.19367E+14,1.28172E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281724775202686,9/19/2016,link,mostly true,,46,634,229
350,2.19367E+14,1.28174E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281744528534044,9/19/2016,link,mostly true,,33,548,305
351,2.19367E+14,1.28177E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281765311865299,9/19/2016,link,mostly true,,17,92,66
352,2.19367E+14,1.28177E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281774175197746,9/19/2016,link,mostly true,,75,404,310
353,2.19367E+14,1.28179E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281789468529550,9/19/2016,link,mostly true,,21,125,94
354,2.19367E+14,1.28181E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281811718527325,9/19/2016,link,mostly true,,101,621,564
355,2.19367E+14,1.28184E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281841091857721,9/19/2016,video,mostly true,,465,4084,3299
356,2.19367E+14,1.28184E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281841601857670,9/19/2016,link,mostly true,,19,132,86
357,2.19367E+14,1.28186E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281863361855494,9/19/2016,video,mostly true,,787,3147,1511
358,2.19367E+14,1.2819E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281903745184789,9/19/2016,link,mostly true,,78,513,424
359,2.19367E+14,1.28194E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281935428514954,9/19/2016,link,mostly true,,85,793,403
360,2.19367E+14,1.28196E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281960621845768,9/19/2016,link,mostly true,,170,1444,486
361,2.19367E+14,1.28199E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1281987158509781,9/19/2016,link,mostly true,,28,284,150
362,2.19367E+14,1.282E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282001178508379,9/19/2016,video,mostly true,,279,1738,738
363,2.19367E+14,1.28202E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282015625173601,9/19/2016,link,mostly true,,3,37,51
364,2.19367E+14,1.28202E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282017338506763,9/19/2016,link,mostly true,,187,1681,548
365,2.19367E+14,1.28204E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282043955170768,9/19/2016,link,mostly true,,142,1063,443
366,2.19367E+14,1.28207E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282069881834842,9/19/2016,link,mostly true,,87,761,404
367,2.19367E+14,1.2821E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282097745165389,9/19/2016,link,mostly true,,17,124,40
368,2.19367E+14,1.28213E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282129008495596,9/19/2016,link,mostly true,,55,299,131
