account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447438628629938,9/19/2016,link,mostly false,,167,862,102
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1447692541937880,9/19/2016,link,mostly false,,156,661,107
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1448154985224969,9/20/2016,link,mostly false,,285,934,153
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1449944418379359,9/22/2016,link,mostly false,,,1397,708
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1450712398302561,9/22/2016,link,mostly false,,3063,3971,1006
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1452117881495346,9/23/2016,link,mostly false,,4708,13821,486
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1454868161220318,9/26/2016,link,mostly false,,273,2423,301
1.46E+14,1.46E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1455558234484644,9/26/2016,link,mostly false,,4587,7960,2770
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1247976241962094,9/22/2016,photo,mostly false,,1,17525,441
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1248606598565725,9/22/2016,link,mostly false,,2343,5113,314
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1248526781907040,9/23/2016,photo,mostly false,,22075,34622,2527
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1249620025131049,9/23/2016,link,mostly false,,17635,22099,1970
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1249753408451044,9/23/2016,link,mostly false,,11931,39770,2897
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1249861458440239,9/23/2016,link,mostly false,,2593,7929,631
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1252678871491831,9/26/2016,link,mostly false,,28254,59251,2981
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1254000264693025,9/27/2016,link,mostly false,yes,5541,9110,638
3.47E+14,1.25E+15,left,Occupy Democrats,https://www.facebook.com/OccupyDemocrats/posts/1254200998006285,9/27/2016,link,mostly false,,5054,10271,431
1.15E+14,1.46E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1462891757055131,9/20/2016,photo,mostly false,,3,36556,1002
1.15E+14,1.46E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1463842706960036,9/20/2016,photo,mostly false,,3261,9590,445
1.15E+14,1.46E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1463890730288567,9/20/2016,photo,mostly false,,11571,8568,930
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1465108913500082,9/21/2016,photo,mostly false,,21673,19682,329
1.15E+14,1.47E+15,left,The Other 98%,https://www.facebook.com/TheOther98/posts/1470814329596207,9/26/2016,link,mostly false,,32181,48387,2551
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446620375378430,9/19/2016,link,mixture of true and false,,241,2027,226
1.46E+14,1.45E+15,left,Addicting Info,https://www.facebook.com/AddictingInfoOrg/posts/1446625628711238,9/19/2016,link,mixture of true and false,,991,3087,313
