account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036151719816387,9/20/2016,link,mixture of true and false,,117,614,70
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1037217126376513,9/21/2016,link,mixture of true and false,,35,344,48
2.19E+14,1.28E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1282620601779770,9/19/2016,link,mixture of true and false,,403,2518,389
2.19E+14,1.28E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1283476095027554,9/20/2016,link,mixture of true and false,,271,1554,375
2.19E+14,1.28E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1283569618351535,9/20/2016,link,mixture of true and false,,269,1195,255
2.19E+14,1.29E+15,mainstream,CNN Politics,https://www.facebook.com/cnnpolitics/posts/1286817908026706,9/23/2016,link,mixture of true and false,,13,41,30
62317591679,1.02E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153842821881680,9/19/2016,link,mixture of true and false,,14560,39730,2915
62317591679,1.02E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153843021046680,9/20/2016,link,mixture of true and false,,90,957,105
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,9/19/2016,link,mostly true,,1,33,34
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,9/19/2016,link,mostly true,,34,63,27
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,9/19/2016,link,mostly true,,35,170,86
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035352946562931,9/19/2016,video,mostly true,,568,3188,2815
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,9/19/2016,link,mostly true,,23,28,21
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035411183223774,9/19/2016,video,mostly true,,46,409,105
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,9/19/2016,link,mostly true,,7,62,64
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724,9/19/2016,link,mostly true,,7,39,6
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035453279886231,9/19/2016,video,mostly true,,152,278,59
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267,9/19/2016,link,mostly true,,8,29,14
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035489746549251,9/19/2016,link,mostly true,,,10,0
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035491416549084,9/19/2016,video,mostly true,,37,507,164
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579,9/19/2016,link,mostly true,,4,23,2
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035527713212121,9/19/2016,video,mostly true,,10,85,29
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035532526544973,9/19/2016,link,mostly true,,10,41,14
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035572169874342,9/19/2016,video,mostly true,,,16,20
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035592746538951,9/19/2016,link,mostly true,,15,276,74
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035595553205337,9/19/2016,link,mostly true,,56,300,65
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035619779869581,9/19/2016,video,mostly true,,64,480,130
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035627049868854,9/19/2016,link,mostly true,,6,33,5
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035656723199220,9/19/2016,video,mostly true,,289,674,243
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035672566530969,9/19/2016,link,mostly true,,2,18,11
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035706656527560,9/19/2016,video,mostly true,,30,268,177
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035726243192268,9/19/2016,link,mostly true,,50,157,129
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035748639856695,9/19/2016,link,mostly true,,13,101,73
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035778606520365,9/19/2016,link,mostly true,,2,37,25
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035801043184788,9/19/2016,link,mostly true,,25,263,87
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035825603182332,9/19/2016,link,mostly true,,15,106,29
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035859429845616,9/19/2016,link,mostly true,,3,24,6
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035884803176412,9/19/2016,link,mostly true,,23,98,8
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035916476506578,9/20/2016,link,mostly true,,5,36,20
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036199296478296,9/20/2016,link,mostly true,,6,45,23
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036218169809742,9/20/2016,video,mostly true,,,233,32
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036245469807012,9/20/2016,video,mostly true,,24,211,46
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036251303139762,9/20/2016,link,mostly true,,1,23,15
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036268139804745,9/20/2016,video,mostly true,,231,572,76
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036296946468531,9/20/2016,link,mostly true,,31,170,97
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036336249797934,9/20/2016,link,mostly true,,,13,4
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036370659794493,9/20/2016,video,mostly true,,104,627,206
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036399716458254,9/20/2016,video,mostly true,,30,25,13
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036432846454941,9/20/2016,link,mostly true,,15,209,47
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036447253120167,9/20/2016,link,mostly true,,3,29,5
1.84E+14,1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036474553117437,9/20/2016,link,mostly true,,4,80,44
